Current,Next,Count,Total_Out,Probability
ERICKSON_ABRUPT_TERMINATION,ERICKSON_IRRELEVANT_STATEMENT,1,1,1.0
ERICKSON_ABSENT_MINDEDNESS_REFRAME,ERICKSON_DIRECT_SUGGESTION,1,1,1.0
ERICKSON_ABSURDITY_UTILIZATION,ERICKSON_UTILIZATION_STRATEGY,1,1,1.0
ERICKSON_ACCEPTANCE_UTILIZATION,ERICKSON_CLICHE_REFRAMING,1,2,0.5
ERICKSON_ACCEPTANCE_UTILIZATION,ERICKSON_TRUISM_SIMPLICITY,1,2,0.5
ERICKSON_ADJECTIVE_COUPLING,ERICKSON_DISSOCIATIVE_ANALYSIS,1,1,1.0
ERICKSON_AFFIRMATION,ERICKSON_NATURAL_PROGRESSION,1,1,1.0
ERICKSON_AFFIRMATION_OF_KNOWLEDGE,ERICKSON_PERSONAL_HISTORY_UTILIZATION,1,1,1.0
ERICKSON_AFFIRMATION_PACING,ERICKSON_BEHAVIORAL_VALIDATION,1,1,1.0
ERICKSON_AFFIRMATION_PRESUPPOSITION,ERICKSON_NATURAL_METAPHOR,1,1,1.0
ERICKSON_AFFIRMATION_TRUISM,ERICKSON_PERMISSIVE_SUGGESTION,1,3,0.3333333333333333
ERICKSON_AFFIRMATION_TRUISM,ERICKSON_UTILIZATION_ACCEPTANCE,1,3,0.3333333333333333
ERICKSON_AFFIRMATION_TRUISM,ERICKSON_YES_SET_CHALLENGE,1,3,0.3333333333333333
ERICKSON_AGE_DISSOCIATION_OBSERVER,ERICKSON_DISSOCIATION_COMPARTMENTALIZATION,1,1,1.0
ERICKSON_AGE_PROGRESSION,ERICKSON_PACING_AND_LEADING,1,2,0.5
ERICKSON_AGE_PROGRESSION,ERICKSON_RATIFICATION_LOGIC,1,2,0.5
ERICKSON_AGE_PROGRESSION_ANCHORING,ERICKSON_AGE_REGRESSION_AND_FUTURE_PACING,1,1,1.0
ERICKSON_AGE_PROGRESSION_UTILIZATION,ERICKSON_UTILIZATION_OBSERVATION,1,1,1.0
ERICKSON_AGE_REGRESSION,ERICKSON_AGE_REGRESSION_REVIVIFICATION,1,6,0.16666666666666666
ERICKSON_AGE_REGRESSION,ERICKSON_NONVERBAL_ANCHORING,1,6,0.16666666666666666
ERICKSON_AGE_REGRESSION,ERICKSON_PERMISSIVE_UTILIZATION,1,6,0.16666666666666666
ERICKSON_AGE_REGRESSION,ERICKSON_PRESUPPOSITION_UTILIZATION,1,6,0.16666666666666666
ERICKSON_AGE_REGRESSION,ERICKSON_TECHNIQUE_LABELING,1,6,0.16666666666666666
