Keyword,Frequency
UTILIZATION,1455
TRUISM,737
PACING,578
REFRAMING,558
AND,464
SUGGESTION,428
DISSOCIATION,318
PRESUPPOSITION,316
INDIRECT,265
VALIDATION,245
DIRECT,239
UNCONSCIOUS,207
BIND,194
INQUIRY,190
METAPHOR,184
DOUBLE,177
CHALLENGE,156
PERMISSIVE,149
SET,142
YES,128
OF,123
CONFUSION,120
QUESTION,107
REFRAME,107
INTERROGATIVE,104
STRATEGIC,102
CONSCIOUS,100
PARADOXICAL,98
OBSERVATION,97
IDEOMOTOR,94
FUTURE,91
INDUCTION,90
RESISTANCE,87
AMNESIA,85
ANALOGY,85
SENSORY,83
TAG,83
TIME,77
LEADING,73
NEGATIVE,71
REINFORCEMENT,71
PROCESS,70
REGRESSION,67
ANECDOTE,66
DIRECTIVE,65
PATTERN,63
MINIMAL,62
PARADOX,61
DISTORTION,61
TEMPORAL,59
RATIFICATION,55
CHOICE,55
AUTHORITY,55
SHOCK,54
TRANCE,54
POST,53
FOCUS,52
COMMAND,52
HYPNOTIC,51
AUTONOMY,51
AMBIGUITY,49
OBSERVATIONAL,48
AGE,46
OPEN,44
DISSOCIATIVE,43
RAPPORT,41
SHIFT,41
INTERRUPT,39
ATTENTION,39
NORMALIZATION,37
LEARNING,37
INTERVENTION,37
CONTRAST,36
INTERRUPTION,34
META,34
ANCHORING,33
STRATEGY,32
REORIENTATION,32
PHYSIOLOGICAL,31
TECHNIQUE,31
LOGIC,31
POSTHYPNOTIC,31
ILLUSION,30
CUE,28
RHETORICAL,28
FRAME,28
MODELING,28
SEARCH,27
ENCOURAGER,27
PROBE,26
ELICITATION,26
DISPLACEMENT,26
TRANSITION,25
DISTRACTION,25
AWARENESS,24
ANCHOR,24
CONFRONTATION,24
PROVOCATION,24
ORDEAL,24
LOGICAL,24
BYPASS,24
LINGUISTIC,23
ASSOCIATION,22
BRIDGE,22
INTERNAL,22
REPETITION,22
REDIRECTION,22
REALITY,21
TASK,21
BOUNDARY,21
COMPLIANCE,20
EXPECTANCY,20
REDEFINITION,20
THERAPEUTIC,20
LINKING,20
ANALYSIS,20
CATALEPSY,19
IMPLICATION,19
ORIENTATION,19
GENERALIZATION,19
EMPOWERMENT,19
ANECDOTAL,19
