script_id,turn_no,content,pattern_id,pattern_label
A Teaching Seminar with Milton H Erickson,0,Into each life some confusion should come … also some enlightenment.,ERICKSON_TRUISM_NORMALIZATION,Truism
A Teaching Seminar with Milton H Erickson,1,"And my voice goes everywhere with you, and changes into the voice of your parents, your teachers, your playmates and the voices of the wind and of the rain.…",ERICKSON_POST_HYPNOTIC_ASSOCIATION,Suggestion
A Teaching Seminar with Milton H Erickson,2,You wonder how they did the prospecting that was necessary to dig the canals.,ERICKSON_TRUISM_PACING,Pacing
A Teaching Seminar with Milton H Erickson,3,Things are not always what they seem to be.,ERICKSON_SHOCK_TRUISM,Truism
A Teaching Seminar with Milton H Erickson,4,for some people a therapist can do nothing,ERICKSON_TRUISM,Truism
A Teaching Seminar with Milton H Erickson,11,"a blank face, your mouth shut, your eyes open and your ears open, and you wait to form your judgments until you have some actual evidence to support your inference and your judgments.",ERICKSON_ANECDOTE_DIRECTIVE,Suggestion
A Teaching Seminar with Milton H Erickson,12,patients have the resources in their own history to resolve the problem that they bring to the therapist.,ERICKSON_RESOURCE_UTILIZATION,Utilization
A Teaching Seminar with Milton H Erickson,14,I am partially color-blind.,ERICKSON_TRUISM_UTILIZATION,Utilization
A Teaching Seminar with Milton H Erickson,15,And the purple telephone... was a gift from four graduate students.,ERICKSON_ANECDOTE_BRIDGE,Other
A Teaching Seminar with Milton H Erickson,17,Concerning psychotherapy...,ERICKSON_TRANSITION_GAZE,Other
A Teaching Seminar with Milton H Erickson,18,People come here like this.,ERICKSON_METAPHOR,Other
A Teaching Seminar with Milton H Erickson,19,And they leave here like this.,ERICKSON_METAPHOR_DEMONSTRATION,Other
A Teaching Seminar with Milton H Erickson,20,Now how much sympathy does a 15-year-old girl have for a seven-year-old brother?,ERICKSON_CONFUSION_INDIRECT_SUGGESTION,Confusion
A Teaching Seminar with Milton H Erickson,22,You have no siblings?,ERICKSON_TRUISM_CHALLENGE,Truism
A Teaching Seminar with Milton H Erickson,23,"Siblings, their ages and their sex.",ERICKSON_MINIMALISM,Other
A Teaching Seminar with Milton H Erickson,24,"No, today’s date. Your name, address, telephone number, your zip code, your degree, where you got it, your siblings and their sex and ages, your marital state, children, urban or rural background.",ERICKSON_YES_SET_COMPLIANCE,Pacing
A Teaching Seminar with Milton H Erickson,25,Pleased to meet you.,ERICKSON_PACING_AND_RAPPORT,Pacing
A Teaching Seminar with Milton H Erickson,26,Any number of bugs will be all right.,ERICKSON_UTILIZATION_PUN,Utilization
A Teaching Seminar with Milton H Erickson,27,"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back.",ERICKSON_TRUISM_UTILIZATION,Utilization
A Teaching Seminar with Milton H Erickson,28,"Now, in teaching psychotherapy I emphasize a state of conscious awareness and a state of unconscious awareness. For convenience sake I speak about the conscious mind and the unconscious mind. Now the conscious mind is your state of immediate awareness. Consciously, you are aware of the wheelchair, the rug on the floor, the other people present, the lights, the bookcases, the night-blooming cacti flowers, the pictures on the wall, Count Dracula on the wall right behind you. In other words, you are dividing your attention between what I say and everything around you.",ERICKSON_TRUISM_YES_SET,Pacing
A Teaching Seminar with Milton H Erickson,29,For example... I will pick on you. Do you know how to walk? How to stand up? Will you please tell me how you stand up?,ERICKSON_UNCONSCIOUS_CHALLENGE,Other
A Teaching Seminar with Milton H Erickson,30,Do you think you could walk six blocks down a street with no traffic of any kind at a steady pace? And can you walk in a straight line at a steady pace?,ERICKSON_YES_SET_CAPABILITY,Pacing
A Teaching Seminar with Milton H Erickson,31,"Now, how would you walk down the street?",ERICKSON_SENSORY_PROBE,Other
A Teaching Seminar with Milton H Erickson,32,How would you walk down the street naturally... in a hurry?,ERICKSON_KIN_ASSOCIATION,Suggestion
A Teaching Seminar with Milton H Erickson,33,And how straight a line would you walk?,ERICKSON_SENSORY_PRECISION,Other
A Teaching Seminar with Milton H Erickson,34,And where would you stop and where would you pause?,ERICKSON_SUBTLE_DISTINCTION,Other
A Teaching Seminar with Milton H Erickson,35,Now that’s what I call an evasive answer. Where would you pause and where would you stop?,ERICKSON_DIRECT_CHALLENGE_DOUBLE_BIND,Double Bind
A Teaching Seminar with Milton H Erickson,36,Not until you got to the curb?,ERICKSON_NEGATIVE_PRESUPPOSITION,Other
A Teaching Seminar with Milton H Erickson,37,How far before the curb?,ERICKSON_SENSORY_FOCUS,Other
A Teaching Seminar with Milton H Erickson,38,"Well, suppose instead of a stoplight, there is just a stop sign, and suppose there is no sign?",ERICKSON_CONFUSION_BY_REDUCTION,Confusion
A Teaching Seminar with Milton H Erickson,39,I said there is no traffic of any kind.,ERICKSON_ESTABLISHING_CONSTRAINTS,Other
A Teaching Seminar with Milton H Erickson,40,"Well, say this is the intersection and if there was a stoplight and you walk along here, you look up and then you move your head to see how far it is to the curb. And if there is a stop sign you slow down to read that. And when you got to the curb, what would be the next thing you did?",ERICKSON_TRUISM_AND_UTILIZATION,Utilization
A Teaching Seminar with Milton H Erickson,41,After you reach the curb.,ERICKSON_TEMPORAL_LINKAGE,Other
A Teaching Seminar with Milton H Erickson,42,Look around where?,ERICKSON_ELICITATION,Other
A Teaching Seminar with Milton H Erickson,43,I said there was no traffic.,ERICKSON_REALITY_CONSTRUCTION,Other
A Teaching Seminar with Milton H Erickson,44,"You have to stop and see how far down you have to step, and you look right and left and up the street automatically. And when you get to the opposite curb, you pause and measure the height of the curb there and you wouldn’t have to look right or left. And what would cause you to slow down?",ERICKSON_TRUISM_AND_INQUIRY,Truism
A Teaching Seminar with Milton H Erickson,45,"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, you would veer towards the jewelry store. And a man who likes hunting and fishing could veer from a straight line toward a sporting goods store window. And, where would all of you all slow down? At what building?. . . As if you were walking through an invisible barrier? Didn’t any of you try to walk past a bakery? You always slow down passing a bakery — man, woman or child.",ERICKSON_TRUISM_YESSET,Truism
A Teaching Seminar with Milton H Erickson,46,"Now, since you are a doctor, how did you learn to stand up? The same question applies to all of you. You know how you learned to stand up. What was your first bit of learning?",ERICKSON_REGRESSION_TRUISM,Truism
A Teaching Seminar with Milton H Erickson,47,You didn’t even know what “stand up” meant. How did you learn to stand up?,ERICKSON_AGE_REGRESSION_INQUIRY,Other
A Teaching Seminar with Milton H Erickson,53,"After a while, after many efforts, you manage to keep your knees straight, your feet far apart, your hips straight and you hang on the side of the playpen. You have four bases — two of your feet and two of your hands. And then what happens when you lift this arm? You sit down. It is quite a job to learn to lift this hand and a bigger job to put your hand out because your body goes over that way. And then it goes that way, and that way. And you have to learn to keep your balance no matter how you move this hand. And then you have to learn how to move the other hand. And then you have to learn to coordinate it with the movement of your head, your shoulders and your body. And finally you can stand up with both hands free. Now, how do you shift from two feet to one foot? It is an awfully big job because the first time you try to do it, you forget to hold your knees straight and your hips straight, and you sit down. After a while you learn to put all your weight on one foot and then you move one foot forward and that alters your center of gravity, so you fall down. It takes a long time to learn how to put one foot forward. So, you finally take your first step and it seems to be pretty good. Then you take the second",ERICKSON_EARLY_LEARNING_REVIVIFICATION,Other
A Teaching Seminar with Milton H Erickson,54,"Now, you speak German, do you not?",ERICKSON_TRUISM_TAG,Truism
