topic_id,keywords
0,"time, way, really, know, feeling, good, think, body, learn, hands"
1,"yes, patient, going, said, way, told, child, does, things, day"
2,"like, just, feel, know, don, experience, little, going, understand, look"
3,"hand, right, left, means, eyes, open, lifting, face, times, touch"
4,"trance, subject, want, question, going, activity, awake, sleep, bit, deep"
5,"unconscious, mind, attention, things, use, conscious, learnings, real, state, inner"
6,"right, tell, think, techniques, chair, essential, consideration, problem, room, really"
7,"know, don, pain, simply, away, doing, certain, use, come, behavior"
8,"did, got, didn, mother, ve, really, think, thing, isn, father"
9,"close, 당신이, eyes, 당신의, 당신은, understanding, suppose, 나는, 그리고, 아주"
