pattern_id,sub_macro
ERICKSON_ABRUPT_TERMINATION,OTHER_UNKNOWN
ERICKSON_ABSENT_MINDEDNESS_REFRAME,REFRAMING
ERICKSON_ABSURDITY_UTILIZATION,UTILIZATION
ERICKSON_ACCEPTANCE_UTILIZATION,UTILIZATION
ERICKSON_ADJECTIVE_COUPLING,OTHER_UNKNOWN
ERICKSON_AFFIRMATION,OTHER_UNKNOWN
ERICKSON_AFFIRMATION_OF_KNOWLEDGE,OTHER_UNKNOWN
ERICKSON_AFFIRMATION_PACING,PACING
ERICKSON_AFFIRMATION_PRESUPPOSITION,OTHER_UNKNOWN
ERICKSON_AFFIRMATION_TRUISM,TRUISM
ERICKSON_AGE_DISSOCIATION_OBSERVER,OTHER_DISSOCIATION
ERICKSON_AGE_PROGRESSION,OTHER_UNKNOWN
ERICKSON_AGE_PROGRESSION_ANCHORING,OTHER_UNKNOWN
ERICKSON_AGE_PROGRESSION_UTILIZATION,UTILIZATION
ERICKSON_AGE_REGRESSION,OTHER_UNKNOWN
ERICKSON_AGE_REGRESSION_ANCHOR,OTHER_UNKNOWN
ERICKSON_AGE_REGRESSION_ANCHORING,OTHER_UNKNOWN
ERICKSON_AGE_REGRESSION_AND_FUTURE_PACING,PACING
ERICKSON_AGE_REGRESSION_DISORIENTATION,OTHER_UNKNOWN
ERICKSON_AGE_REGRESSION_DISSOCIATION,OTHER_DISSOCIATION
ERICKSON_AGE_REGRESSION_DISTRACTION,OTHER_UNKNOWN
ERICKSON_AGE_REGRESSION_HALLUCINATION,OTHER_UNKNOWN
ERICKSON_AGE_REGRESSION_INDUCTION,OTHER_UNKNOWN
ERICKSON_AGE_REGRESSION_INQUIRY,OTHER_INQUIRY
ERICKSON_AGE_REGRESSION_LINGUISTICS,OTHER_UNKNOWN
ERICKSON_AGE_REGRESSION_METAPHOR,OTHER_UNKNOWN
ERICKSON_AGE_REGRESSION_REFRAME,REFRAMING
ERICKSON_AGE_REGRESSION_REFRAMING,REFRAMING
ERICKSON_AGE_REGRESSION_REINFORCEMENT,OTHER_UNKNOWN
ERICKSON_AGE_REGRESSION_RESOURCE,OTHER_UNKNOWN
ERICKSON_AGE_REGRESSION_REVIVIFICATION,OTHER_UNKNOWN
ERICKSON_AGE_REGRESSION_SPATIAL_ANCHORING,OTHER_UNKNOWN
ERICKSON_AGE_REGRESSION_SPATIAL_UTILIZATION,UTILIZATION
ERICKSON_AGE_REGRESSION_TRANCE_DEEPENING,OTHER_UNKNOWN
