Category,Pattern ID,Importance,Typical Leads To,Typical Preceded By
ABRUPT,ERICKSON_ABRUPT_TERMINATION,0.00012413523922685658,ERICKSON_IRRELEVANT_STATEMENT (1.00),ERICKSON_STRATEGIC_POSITIONING (0.12)
ABSENT,ERICKSON_ABSENT_MINDEDNESS_REFRAME,0.0001417998273356899,ERICKSON_DIRECT_SUGGESTION (1.00),ERICKSON_DISSOCIATIVE_SUGGESTION (0.50)
ABSURDITY,ERICKSON_ABSURDITY_UTILIZATION,0.00014302438538959348,ERICKSON_UTILIZATION_STRATEGY (1.00),ERICKSON_TAG_QUESTION_TRUISM (0.20)
ACCEPTANCE,ERICKSON_ACCEPTANCE_UTILIZATION,0.00028200511035873007,ERICKSON_CLICHE_REFRAMING (0.50); ERICKSON_TRUISM_SIMPLICITY (0.50),ERICKSON_PATTERN_INTERRUPTION_AND_REDIRECTION (1.00); ERICKSON_REFRAMING_ANECDOTE (0.25)
ADJECTIVE,ERICKSON_ADJECTIVE_COUPLING,0.0001436193809627092,ERICKSON_DISSOCIATIVE_ANALYSIS (1.00),ERICKSON_PERMISSIVE_CHOICE (0.20)
AFFIRMATION,ERICKSON_AFFIRMATION,0.0001428123788108892,ERICKSON_NATURAL_PROGRESSION (1.00),ERICKSON_INDIRECT_SUGGESTION (0.01)
AFFIRMATION,ERICKSON_AFFIRMATION_OF_KNOWLEDGE,0.00014297514594857575,ERICKSON_PERSONAL_HISTORY_UTILIZATION (1.00),ERICKSON_SELF_DISCLOSURE_AUTHORITY (1.00)
AFFIRMATION,ERICKSON_AFFIRMATION_PACING,0.00014245702273009056,ERICKSON_BEHAVIORAL_VALIDATION (1.00),ERICKSON_EXTERNALIZATION_METAPHOR (0.50)
AFFIRMATION,ERICKSON_AFFIRMATION_PRESUPPOSITION,0.0001430950887481064,ERICKSON_NATURAL_METAPHOR (1.00),ERICKSON_TIME_DISTORTION (0.06)
AFFIRMATION,ERICKSON_AFFIRMATION_TRUISM,0.0004266694098507335,ERICKSON_PERMISSIVE_SUGGESTION (0.33); ERICKSON_UTILIZATION_ACCEPTANCE (0.33); ERICKSON_YES_SET_CHALLENGE (0.33),ERICKSON_DIRECT_COMMAND (0.20); ERICKSON_TRUISM_VALIDATION (0.08)
AGE,ERICKSON_AGE_DISSOCIATION_OBSERVER,0.0001421473104916662,ERICKSON_DISSOCIATION_COMPARTMENTALIZATION (1.00),ERICKSON_IDEOMOTOR_DISSOCIATION (0.06)
AGE,ERICKSON_AGE_PROGRESSION,0.00028909714787831006,ERICKSON_PACING_AND_LEADING (0.50); ERICKSON_RATIFICATION_LOGIC (0.50),ERICKSON_GENERAL_SPECIFIC_AMBIGUITY (1.00); ERICKSON_INTERROGATIVE_GROUNDING (1.00)
AGE,ERICKSON_AGE_PROGRESSION_ANCHORING,0.0001406621422896891,ERICKSON_AGE_REGRESSION_AND_FUTURE_PACING (1.00),ERICKSON_AGE_REGRESSION_DISSOCIATION (0.33)
AGE,ERICKSON_AGE_PROGRESSION_UTILIZATION,0.00013936803593716642,ERICKSON_UTILIZATION_OBSERVATION (1.00),ERICKSON_UTILIZATION_RESISTANCE (0.03)
AGE,ERICKSON_AGE_REGRESSION,0.0008704801947716406,ERICKSON_AGE_REGRESSION_REVIVIFICATION (0.17); ERICKSON_NONVERBAL_ANCHORING (0.17); ERICKSON_PERMISSIVE_UTILIZATION (0.17),ERICKSON_ASSOCIATION_PACING (1.00); ERICKSON_DIRECT_INQUIRY_FOR_REGRESSION (1.00)
AGE,ERICKSON_AGE_REGRESSION_ANCHOR,0.0004251066745902726,ERICKSON_HYPOPHORA_OBSERVATION (0.33); ERICKSON_PATTERN_INTERRUPT (0.33); ERICKSON_SENSORY_FOCUS (0.33),ERICKSON_IMPLICATION_VALIDATION (1.00); ERICKSON_MINIMAL_CUE (0.04)
AGE,ERICKSON_AGE_REGRESSION_ANCHORING,0.00014305847863671712,ERICKSON_DIRECT_ATTENTION (1.00),ERICKSON_CLARIFICATION_UTILIZATION (0.33)
AGE,ERICKSON_AGE_REGRESSION_AND_FUTURE_PACING,0.00014074773327987374,ERICKSON_YES_SET (1.00),ERICKSON_AGE_PROGRESSION_ANCHORING (1.00)
AGE,ERICKSON_AGE_REGRESSION_DISORIENTATION,0.00014525664456149757,ERICKSON_DISSOCIATIVE_AWAKENING (1.00),ERICKSON_AGE_REGRESSION_REVIVIFICATION (1.00)
AGE,ERICKSON_AGE_REGRESSION_DISSOCIATION,0.000421729810117653,ERICKSON_AGE_PROGRESSION_ANCHORING (0.33); ERICKSON_METAPHOR_EFFORTLESSNESS (0.33); ERICKSON_TRUISM_PACING (0.33),ERICKSON_COMFORT_PACING (1.00); ERICKSON_TRUISM_PSEUDO_CONFUSION (1.00)
AGE,ERICKSON_AGE_REGRESSION_DISTRACTION,0.0001432474046734787,ERICKSON_ASSOCIATIVE_LINKING (1.00),ERICKSON_PAST_RESOURCE_UTILIZATION (1.00)
AGE,ERICKSON_AGE_REGRESSION_HALLUCINATION,0.0001428013078295155,ERICKSON_UTILIZATION_OF_MULTILEVEL_REALITY (1.00),ERICKSON_PACING_AND_VALIDATION (0.01)
AGE,ERICKSON_AGE_REGRESSION_INDUCTION,0.00014316602852411684,ERICKSON_TRUISM_PACING (1.00),ERICKSON_OPEN_ENDED_SUGGESTION (0.50)
AGE,ERICKSON_AGE_REGRESSION_INQUIRY,0.0002852973721757233,ERICKSON_AMNESIA_INTEGRATION (0.50); ERICKSON_EARLY_LEARNING_REVIVIFICATION (0.50),ERICKSON_CASE_HISTORY_ILLUSTRATION (1.00); ERICKSON_REGRESSION_TRUISM (0.50)
AGE,ERICKSON_AGE_REGRESSION_LINGUISTICS,0.00014072685292723227,ERICKSON_SYMBOLIC_INTERPRETATION (1.00),ERICKSON_DOUBLE_BIND_CHOICE (0.20)
AGE,ERICKSON_AGE_REGRESSION_METAPHOR,0.00028640831207394745,ERICKSON_STRATEGIC_INTERVENTION (0.50); ERICKSON_UTILIZATION_RAPPORT (0.50),ERICKSON_METAPHOR_UNIVERSALITY (1.00); ERICKSON_INTERROGATIVE_SUGGESTION (0.05)
AGE,ERICKSON_AGE_REGRESSION_REFRAME,0.00013777438382835632,ERICKSON_AGE_REGRESSION_REFRAMING (1.00),ERICKSON_TEMPORAL_MARKING (0.50)
AGE,ERICKSON_AGE_REGRESSION_REFRAMING,0.00013785821763799883,ERICKSON_CRITIQUE_SPECIFICITY (1.00),ERICKSON_AGE_REGRESSION_REFRAME (1.00)
AGE,ERICKSON_AGE_REGRESSION_REINFORCEMENT,0.00014346468941058281,ERICKSON_COGNITIVE_OCCUPATION (1.00),ERICKSON_TRUISM_SPATIAL_MAPPING (1.00)
AGE,ERICKSON_AGE_REGRESSION_RESOURCE,0.00014373890108017353,ERICKSON_TRUISM (1.00),ERICKSON_PACING_AND_UTILIZATION (0.10)
AGE,ERICKSON_AGE_REGRESSION_REVIVIFICATION,0.00014516831165786278,ERICKSON_AGE_REGRESSION_DISORIENTATION (1.00),ERICKSON_AGE_REGRESSION (0.17)
AGE,ERICKSON_AGE_REGRESSION_SPATIAL_ANCHORING,0.00014249071582400025,ERICKSON_PACING_LEADING_DISSOCIATION (1.00),ERICKSON_REGRESSION_REVIVIFICATION (1.00)
AGE,ERICKSON_AGE_REGRESSION_SPATIAL_UTILIZATION,0.00013618082126124888,ERICKSON_PACING_LEADING (1.00),ERICKSON_DISSOCIATION_REGRESSION (0.33)
AGE,ERICKSON_AGE_REGRESSION_TRANCE_DEEPENING,0.00014256867401474087,ERICKSON_PACING_TRUISM (1.00),ERICKSON_PACING_INQUIRY (0.50)
