From,To,Prob
STATE_UNKNOWN,STATE_UNKNOWN,0.2891089108910891
STATE_REFRAME,STATE_UNKNOWN,0.23694779116465864
STATE_PACE,STATE_PACE,0.22932651321398123
STATE_UTIL,STATE_UTIL,0.22456140350877193
STATE_DISSOC,STATE_UNKNOWN,0.22420634920634921
STATE_UTIL,STATE_UNKNOWN,0.2149122807017544
STATE_SUGG,STATE_UNKNOWN,0.20854922279792745
STATE_PACE,STATE_UNKNOWN,0.20460358056265984
STATE_BIND,STATE_UNKNOWN,0.2025862068965517
STATE_METAPHOR,STATE_UNKNOWN,0.19844357976653695
STATE_INQUIRY,STATE_PACE,0.19727891156462585
STATE_INQUIRY,STATE_UNKNOWN,0.19387755102040816
STATE_REFRAME,STATE_UTIL,0.18674698795180722
STATE_UTIL,STATE_PACE,0.17982456140350878
STATE_DISSOC,STATE_PACE,0.1765873015873016
STATE_SUGG,STATE_SUGG,0.17616580310880828
STATE_UNKNOWN,STATE_UTIL,0.1735973597359736
STATE_METAPHOR,STATE_UTIL,0.17120622568093385
STATE_DISSOC,STATE_DISSOC,0.17063492063492064
STATE_SUGG,STATE_PACE,0.16839378238341968
STATE_METAPHOR,STATE_PACE,0.16342412451361868
STATE_BIND,STATE_BIND,0.16163793103448276
STATE_SUGG,STATE_UTIL,0.16062176165803108
STATE_BIND,STATE_UTIL,0.15948275862068967
STATE_UNKNOWN,STATE_PACE,0.15775577557755777
STATE_DISSOC,STATE_UTIL,0.15674603174603174
STATE_REFRAME,STATE_REFRAME,0.15060240963855423
