From,CONFUSION,DOUBLE_BIND,OTHER_CHALLENGE,OTHER_CUE_PROMPT,OTHER_DISSOCIATION,OTHER_INQUIRY,OTHER_TIME_AMNESIA,OTHER_UNKNOWN,PACING,REFRAMING,SUGGESTION,TRUISM,UTILIZATION
CONFUSION,11.76,2.67,3.74,3.74,2.67,2.14,2.14,23.53,9.63,8.56,4.28,9.09,16.04
DOUBLE_BIND,3.97,16.27,2.78,1.98,3.57,3.17,0.79,23.02,3.97,7.94,7.14,4.76,20.63
OTHER_CHALLENGE,6.77,3.01,10.53,1.5,0.75,3.76,2.26,22.56,11.28,6.77,9.77,5.26,15.79
OTHER_CUE_PROMPT,2.36,2.83,2.36,11.32,2.83,4.72,0.47,31.13,9.91,8.02,2.83,8.49,12.74
OTHER_DISSOCIATION,1.86,4.65,1.4,1.4,9.77,1.4,2.33,29.3,10.7,8.37,6.05,6.98,15.81
OTHER_INQUIRY,1.98,1.49,4.46,2.97,1.98,8.42,0.99,25.74,12.38,7.92,5.94,10.4,15.35
OTHER_TIME_AMNESIA,2.33,0.0,2.33,0.0,2.33,5.81,16.28,26.74,3.49,4.65,10.47,6.98,18.6
OTHER_UNKNOWN,2.39,4.13,1.74,4.02,3.53,2.55,0.87,30.46,9.5,9.61,7.44,6.41,17.37
PACING,3.37,3.51,2.05,2.93,2.64,3.37,1.17,26.35,15.52,6.88,9.52,7.32,15.37
REFRAMING,2.14,2.29,1.53,2.45,2.75,2.14,0.76,28.44,9.17,19.57,6.42,6.42,15.9
SUGGESTION,2.39,3.39,1.2,1.99,5.18,2.79,1.99,26.69,9.16,6.97,13.55,7.97,16.73
TRUISM,3.08,2.05,1.44,3.9,2.46,2.46,1.44,25.26,11.29,9.24,8.83,11.5,17.04
UTILIZATION,1.98,3.7,1.46,2.41,2.41,3.44,0.77,27.71,10.76,10.41,5.85,7.31,21.77
