entry_id,cluster,state_label,original_text
0,10,Post-Hypnotic Reframing (사후 최면 및 재구조화),Into each life some confusion should come … also some enlightenment.
1,7,Observational Acuity (관찰력 및 통찰),"And my voice goes everywhere with you, and changes into the voice of your parents, your teachers, your playmates and the voices of the wind and of the rain.…"
2,0,Presupposition & Pacing (전제 및 페이싱),You wonder how they did the prospecting that was necessary to dig the canals.
2,0,Presupposition & Pacing (전제 및 페이싱),You wonder how they did the prospecting that was necessary to dig the canals.
2,0,Presupposition & Pacing (전제 및 페이싱),You wonder how they did the prospecting that was necessary to dig the canals.
3,4,Unconscious Validation (무의식적 검증),Things are not always what they seem to be.
4,10,Post-Hypnotic Reframing (사후 최면 및 재구조화),for some people a therapist can do nothing
5,7,Observational Acuity (관찰력 및 통찰),Poliomyelitis was the best teacher I ever had about human behavior and its potentials.
6,3,Induction & Reframing (유도 및 재구조화),"a blank face, your mouth shut, your eyes open and your ears open, and you wait to form your judgments until you have some actual evidence to support your inference and your judgments."
6,3,Induction & Reframing (유도 및 재구조화),"a blank face, your mouth shut, your eyes open and your ears open, and you wait to form your judgments until you have some actual evidence to support your inference and your judgments."
6,3,Induction & Reframing (유도 및 재구조화),"a blank face, your mouth shut, your eyes open and your ears open, and you wait to form your judgments until you have some actual evidence to support your inference and your judgments."
6,3,Induction & Reframing (유도 및 재구조화),"a blank face, your mouth shut, your eyes open and your ears open, and you wait to form your judgments until you have some actual evidence to support your inference and your judgments."
6,3,Induction & Reframing (유도 및 재구조화),"a blank face, your mouth shut, your eyes open and your ears open, and you wait to form your judgments until you have some actual evidence to support your inference and your judgments."
6,3,Induction & Reframing (유도 및 재구조화),"a blank face, your mouth shut, your eyes open and your ears open, and you wait to form your judgments until you have some actual evidence to support your inference and your judgments."
7,7,Observational Acuity (관찰력 및 통찰),patients have the resources in their own history to resolve the problem that they bring to the therapist.
7,7,Observational Acuity (관찰력 및 통찰),patients have the resources in their own history to resolve the problem that they bring to the therapist.
7,7,Observational Acuity (관찰력 및 통찰),patients have the resources in their own history to resolve the problem that they bring to the therapist.
10,0,Presupposition & Pacing (전제 및 페이싱),Concerning psychotherapy...
11,0,Presupposition & Pacing (전제 및 페이싱),People come here like this.
12,0,Presupposition & Pacing (전제 및 페이싱),And they leave here like this.
13,11,Metaphorical Learning (은유적 학습),Now how much sympathy does a 15-year-old girl have for a seven-year-old brother?
14,0,Presupposition & Pacing (전제 및 페이싱),You have no siblings?
16,11,Metaphorical Learning (은유적 학습),"No, today’s date. Your name, address, telephone number, your zip code, your degree, where you got it, your siblings and their sex and ages, your marital state, children, urban or rural background."
17,0,Presupposition & Pacing (전제 및 페이싱),Pleased to meet you.
19,3,Induction & Reframing (유도 및 재구조화),"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
19,3,Induction & Reframing (유도 및 재구조화),"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
